Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,14,asymmetric,0.01,0.39941988963151853
75% Corpus,14,asymmetric,0.31,0.3481853742076784
75% Corpus,14,asymmetric,0.61,0.3724590957950485
75% Corpus,14,asymmetric,0.9099999999999999,0.3670918509758842
75% Corpus,14,asymmetric,symmetric,0.4107860926601178
100% Corpus,2,0.01,0.01,0.45090462120640745
100% Corpus,2,0.01,0.31,0.419129832841739
100% Corpus,2,0.01,0.61,0.3985394018173545
100% Corpus,2,0.01,0.9099999999999999,0.39107718282127896
100% Corpus,2,0.01,symmetric,0.4450066845358693
100% Corpus,2,0.31,0.01,0.4686579691296705
100% Corpus,2,0.31,0.31,0.4423657718436374
100% Corpus,2,0.31,0.61,0.4523383597316525
100% Corpus,2,0.31,0.9099999999999999,0.4456446759108026
100% Corpus,2,0.31,symmetric,0.45242738398165344
100% Corpus,2,0.61,0.01,0.4684736874817249
100% Corpus,2,0.61,0.31,0.4498248943494422
100% Corpus,2,0.61,0.61,0.4587796932451681
100% Corpus,2,0.61,0.9099999999999999,0.45534022900805143
100% Corpus,2,0.61,symmetric,0.47465670149875655
100% Corpus,2,0.9099999999999999,0.01,0.47127060434600915
100% Corpus,2,0.9099999999999999,0.31,0.48483099826845616
100% Corpus,2,0.9099999999999999,0.61,0.4403468766549724
100% Corpus,2,0.9099999999999999,0.9099999999999999,0.4348708919054536
100% Corpus,2,0.9099999999999999,symmetric,0.47264404634082435
100% Corpus,2,symmetric,0.01,0.4528114977328224
100% Corpus,2,symmetric,0.31,0.4336450383217847
100% Corpus,2,symmetric,0.61,0.4272502888662211
100% Corpus,2,symmetric,0.9099999999999999,0.38598020958635315
100% Corpus,2,symmetric,symmetric,0.4521481805387667
100% Corpus,2,asymmetric,0.01,0.40484455007540954
100% Corpus,2,asymmetric,0.31,0.38777943376702967
100% Corpus,2,asymmetric,0.61,0.40928770865862035
100% Corpus,2,asymmetric,0.9099999999999999,0.38606877534358647
100% Corpus,2,asymmetric,symmetric,0.43203832495723393
100% Corpus,3,0.01,0.01,0.44001753159437557
100% Corpus,3,0.01,0.31,0.4219845231790507
100% Corpus,3,0.01,0.61,0.40816895190185754
100% Corpus,3,0.01,0.9099999999999999,0.38924131573696874
100% Corpus,3,0.01,symmetric,0.44344365075635184
100% Corpus,3,0.31,0.01,0.47059188932927254
100% Corpus,3,0.31,0.31,0.450461718769942
100% Corpus,3,0.31,0.61,0.4496841595559986
100% Corpus,3,0.31,0.9099999999999999,0.4417439803680372
100% Corpus,3,0.31,symmetric,0.45795654444344375
100% Corpus,3,0.61,0.01,0.48650370003965016
100% Corpus,3,0.61,0.31,0.4566636425893222
100% Corpus,3,0.61,0.61,0.45618769075075694
100% Corpus,3,0.61,0.9099999999999999,0.4837137794681065
100% Corpus,3,0.61,symmetric,0.4708636826783056
100% Corpus,3,0.9099999999999999,0.01,0.4690402887803226
100% Corpus,3,0.9099999999999999,0.31,0.44395784359791435
100% Corpus,3,0.9099999999999999,0.61,0.43521178162759816
100% Corpus,3,0.9099999999999999,0.9099999999999999,0.4348708919054536
100% Corpus,3,0.9099999999999999,symmetric,0.4651334516986806
100% Corpus,3,symmetric,0.01,0.45116592670328337
100% Corpus,3,symmetric,0.31,0.43308355088850653
100% Corpus,3,symmetric,0.61,0.43027228805178713
100% Corpus,3,symmetric,0.9099999999999999,0.3961325466889695
100% Corpus,3,symmetric,symmetric,0.45907543617233
100% Corpus,3,asymmetric,0.01,0.40024935422123314
100% Corpus,3,asymmetric,0.31,0.38808945067818335
100% Corpus,3,asymmetric,0.61,0.40443477447327664
100% Corpus,3,asymmetric,0.9099999999999999,0.38734165014801863
100% Corpus,3,asymmetric,symmetric,0.4301353969562953
100% Corpus,4,0.01,0.01,0.44844074987841687
100% Corpus,4,0.01,0.31,0.4147365598989934
100% Corpus,4,0.01,0.61,0.3981416444846337
100% Corpus,4,0.01,0.9099999999999999,0.37670950257526026
100% Corpus,4,0.01,symmetric,0.44392120570944577
100% Corpus,4,0.31,0.01,0.4580452133572591
100% Corpus,4,0.31,0.31,0.4432164956357097
100% Corpus,4,0.31,0.61,0.4470922099419427
100% Corpus,4,0.31,0.9099999999999999,0.4505035299579595
100% Corpus,4,0.31,symmetric,0.45795654444344375
100% Corpus,4,0.61,0.01,0.48651145715611344
100% Corpus,4,0.61,0.31,0.4510633720568215
100% Corpus,4,0.61,0.61,0.4650765457326639
100% Corpus,4,0.61,0.9099999999999999,0.47970460008341825
100% Corpus,4,0.61,symmetric,0.4730596411268143
100% Corpus,4,0.9099999999999999,0.01,0.47213086842318563
100% Corpus,4,0.9099999999999999,0.31,0.44507108650397126
100% Corpus,4,0.9099999999999999,0.61,0.4403468766549724
100% Corpus,4,0.9099999999999999,0.9099999999999999,0.4348708919054536
100% Corpus,4,0.9099999999999999,symmetric,0.4721044662688779
100% Corpus,4,symmetric,0.01,0.45116592670328337
100% Corpus,4,symmetric,0.31,0.4294748004262228
100% Corpus,4,symmetric,0.61,0.4272502888662211
100% Corpus,4,symmetric,0.9099999999999999,0.39479589303711815
100% Corpus,4,symmetric,symmetric,0.4521481805387667
100% Corpus,4,asymmetric,0.01,0.39510947463888807
100% Corpus,4,asymmetric,0.31,0.38777943376702967
100% Corpus,4,asymmetric,0.61,0.3998445312279052
100% Corpus,4,asymmetric,0.9099999999999999,0.38210205633588384
100% Corpus,4,asymmetric,symmetric,0.434667497766226
100% Corpus,5,0.01,0.01,0.43761119425991957
100% Corpus,5,0.01,0.31,0.4157828840964276
100% Corpus,5,0.01,0.61,0.3981416444846337
100% Corpus,5,0.01,0.9099999999999999,0.3954638980731986
100% Corpus,5,0.01,symmetric,0.44080082510308183
100% Corpus,5,0.31,0.01,0.4629607774416624
100% Corpus,5,0.31,0.31,0.44920439097376474
