Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,4,symmetric,0.61,0.397523733538217
100% Corpus,4,symmetric,0.9099999999999999,0.42370946201943516
100% Corpus,4,symmetric,symmetric,0.40336352895087024
100% Corpus,4,asymmetric,0.01,0.38998108241281554
100% Corpus,4,asymmetric,0.31,0.3833133924716437
100% Corpus,4,asymmetric,0.61,0.42734223312068575
100% Corpus,4,asymmetric,0.9099999999999999,0.4476837638522918
100% Corpus,4,asymmetric,symmetric,0.39036980409089506
100% Corpus,5,0.01,0.01,0.4181726537347992
100% Corpus,5,0.01,0.31,0.394840729065238
100% Corpus,5,0.01,0.61,0.3993674039537932
100% Corpus,5,0.01,0.9099999999999999,0.42139192915253076
100% Corpus,5,0.01,symmetric,0.41350023396038066
100% Corpus,5,0.31,0.01,0.39018043706484806
100% Corpus,5,0.31,0.31,0.40677316395307433
100% Corpus,5,0.31,0.61,0.4274997480108042
100% Corpus,5,0.31,0.9099999999999999,0.47619476924068926
100% Corpus,5,0.31,symmetric,0.3936124112777619
100% Corpus,5,0.61,0.01,0.41482649308431563
100% Corpus,5,0.61,0.31,0.42464934295640544
100% Corpus,5,0.61,0.61,0.46305098032300024
100% Corpus,5,0.61,0.9099999999999999,0.4657777556380906
100% Corpus,5,0.61,symmetric,0.4180476432930541
100% Corpus,5,0.9099999999999999,0.01,0.41027353121001786
100% Corpus,5,0.9099999999999999,0.31,0.4105868896785877
100% Corpus,5,0.9099999999999999,0.61,0.4300520592627766
100% Corpus,5,0.9099999999999999,0.9099999999999999,0.4416752906040678
100% Corpus,5,0.9099999999999999,symmetric,0.40452291272264407
100% Corpus,5,symmetric,0.01,0.3982805433654234
100% Corpus,5,symmetric,0.31,0.38394291657291657
100% Corpus,5,symmetric,0.61,0.3901474373627202
100% Corpus,5,symmetric,0.9099999999999999,0.4284485957253058
100% Corpus,5,symmetric,symmetric,0.40382281045637286
100% Corpus,5,asymmetric,0.01,0.390185764717834
100% Corpus,5,asymmetric,0.31,0.3855333355061729
100% Corpus,5,asymmetric,0.61,0.4209988806211906
100% Corpus,5,asymmetric,0.9099999999999999,0.5206703587348225
100% Corpus,5,asymmetric,symmetric,0.3938330839046054
100% Corpus,6,0.01,0.01,0.41892722416877753
100% Corpus,6,0.01,0.31,0.3917192882052282
100% Corpus,6,0.01,0.61,0.40766352989915244
100% Corpus,6,0.01,0.9099999999999999,0.4272781706993924
100% Corpus,6,0.01,symmetric,0.40824361137449977
100% Corpus,6,0.31,0.01,0.39018043706484806
100% Corpus,6,0.31,0.31,0.4037225574950913
100% Corpus,6,0.31,0.61,0.3929670869250729
100% Corpus,6,0.31,0.9099999999999999,0.4459192563118344
100% Corpus,6,0.31,symmetric,0.39444525907034617
100% Corpus,6,0.61,0.01,0.4121591082463912
